Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties
CHEMBL3985509,,0,366.39,1,5.53,10,O=C(O)CCCOc1ccc(-c2cc(Oc3ccccc3)ccc2F)cc1,EC50,'=',3586,nM,5.45,,,UO_0000065,14.86,0.28,-0.08,9.77,FALSE,CHEMBL3868262,Agonist activity at human GPR40 measured after 60 mins by IP1-HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3867472,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,
CHEMBL3944507,,0,330.36,0,4.28,21,O=C(O)CCCOc1ccc(-c2cc(OC3CC3)ccc2F)cc1,EC50,'>',9950,nM,,,,UO_0000065,,,,,FALSE,CHEMBL3868262,Agonist activity at human GPR40 measured after 60 mins by IP1-HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3867472,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,
CHEMBL3985939,,0,386.34,1,5.25,27,Cc1cc(-c2cc(OC(F)(F)F)ccc2F)cc(C)c1OCCCC(=O)O,EC50,'>',9950,nM,,,,UO_0000065,,,,,FALSE,CHEMBL3868262,Agonist activity at human GPR40 measured after 60 mins by IP1-HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3867472,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,
CHEMBL3927879,,0,352.36,0,4.85,39,O=C(O)CCc1cc2cc(-c3cc(C(=O)C4CC4)ccc3F)ccc2o1,EC50,'>',9950,nM,,,,UO_0000065,,,,,FALSE,CHEMBL3868262,Agonist activity at human GPR40 measured after 60 mins by IP1-HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3867472,1,Scientific Literature,Bioorg Med Chem Lett,2016,None,
CHEMBL4063167,,0,366.48,1,5.63,5f,Cc1cccc(C)c1-c1cccc(COc2csc(CCC(=O)O)c2)c1,EC50,'=',2320,nM,5.63,,,UO_0000065,15.37,0.3,0,12.11,FALSE,CHEMBL4010812,Agonist activity at human GPR40 expressed in CHO cells assessed as increase in intracellular Ca2+ flux by Fluo 4-AM dye based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4007473,1,Scientific Literature,J Med Chem,2017,None,
CHEMBL3287576,,0,488.49,1,6.31,12,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1COc1ccc([C@H](CC(=O)O)c2cnco2)cc1,EC50,'=',57,nM,7.24,,,UO_0000065,14.83,0.29,0.93,8.48,FALSE,CHEMBL3292562,Agonist activity at human GPR40 expressed in CHO cells by aequorin assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3286293,1,Scientific Literature,ACS Med. Chem. Lett.,2014,CHEMBL3308072,
CHEMBL4288124,,0,407.26,0,4.25,10,O=C(O)CC1COc2cc(OCCCOc3cccc(Br)c3)ccc21,EC50,'=',3450,nM,5.46,,,UO_0000065,,,,,FALSE,CHEMBL4269157,Agonist activity at human FFA1 expressed in CHO cells assessed as increase in intracellular Ca2+ flux after 1 hr by Fluo4-AM dye based FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4265981,1,Scientific Literature,Eur J Med Chem,2018,None,
CHEMBL1829174,FASIGLIFAM,3,524.64,2,5.31,TAK-875,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,EC50,'=',45,nM,7.35,,,UO_0000065,,,,,TRUE,CHEMBL4269157,Agonist activity at human FFA1 expressed in CHO cells assessed as increase in intracellular Ca2+ flux after 1 hr by Fluo4-AM dye based FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4265981,1,Scientific Literature,Eur J Med Chem,2018,None,
CHEMBL2151300,,0,504.64,2,8.13,16,COc1ccc(F)c(-c2ccc(COc3cccc([C@@H](CC(=O)O)C4CCCC4)c3)cc2C(C)(C)C)c1,EC50,'=',1310,nM,5.88,,,UO_0000065,,,,,FALSE,CHEMBL2155123,Agonist activity at GPR40 expressed in CHO cells after 20 seconds by aequorin bioluminescence assay in presence of 0.1 % human serum,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2150898,1,Scientific Literature,ACS Med. Chem. Lett.,2012,CHEMBL3308072,
CHEMBL2151290,,0,418.46,1,5.66,6,CC#C[C@H](CC(=O)O)c1ccc(OCc2ccc(-c3cc(OC)ccc3F)cc2)cc1,EC50,'=',2300,nM,5.64,,,UO_0000065,,,,,FALSE,CHEMBL2155123,Agonist activity at GPR40 expressed in CHO cells after 20 seconds by aequorin bioluminescence assay in presence of 0.1 % human serum,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2150898,1,Scientific Literature,ACS Med. Chem. Lett.,2012,CHEMBL3308072,
CHEMBL2151293,,0,436.52,1,6.4,9,COc1ccc(F)c(-c2ccc(COc3cccc(CCC(=O)O)c3)cc2C(C)(C)C)c1,EC50,'=',900,nM,6.05,,,UO_0000065,,,,,FALSE,CHEMBL2155123,Agonist activity at GPR40 expressed in CHO cells after 20 seconds by aequorin bioluminescence assay in presence of 0.1 % human serum,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2150898,1,Scientific Literature,ACS Med. Chem. Lett.,2012,CHEMBL3308072,
CHEMBL2151289,,0,400.47,1,5.52,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1829173,,0,438.45,1,6.53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2151302,,0,512.62,2,7.98,18,COc1ccc(F)c(-c2ccc(COc3cccc([C@@H](CC(=O)O)c4ccccc4)c3)cc2C(C)(C)C)c1,EC50,'=',1200,nM,5.92,,,UO_0000065,,,,,FALSE,CHEMBL2155123,Agonist activity at GPR40 expressed in CHO cells after 20 seconds by aequorin bioluminescence assay in presence of 0.1 % human serum,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2150898,1,Scientific Literature,ACS Med. Chem. Lett.,2012,CHEMBL3308072,
CHEMBL3604057,,0,386.34,0,4.98,29b,CCO[C@@H](CC(=O)O)c1ccc(OCc2ccc(C(F)(F)F)cc2F)cc1,EC50,'=',13,nM,7.89,,,UO_0000065,20.41,0.4,2.91,14.14,FALSE,CHEMBL3607676,Agonist activity at human GPR40 expressed in CHO cells assessed as increase in intracellular calcium level after 60 mins by FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3603738,1,Scientific Literature,Bioorg. Med. Chem.,2015,CHEMBL3308072,
CHEMBL3601007,,0,324.34,0,3.33,8h,O=C(O)CCc1ccc(OCc2nc(-c3ccccc3)no2)cc1,EC50,'=',1130,nM,5.95,,,UO_0000065,18.34,0.34,2.62,6.96,FALSE,CHEMBL3602370,Agonist activity at GPR40 (unknown origin) expressed in CHO cells by FLIPR calcium flux assay in presence of 0.1% bovine serum albumin,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3600322,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2015,CHEMBL3308072,
CHEMBL1829174,FASIGLIFAM,3,524.64,2,5.31,TAK-875,Cc1cc(OCCCS(C)(=O)=O)cc(C)c1-c1cccc(COc2ccc3c(c2)OC[C@H]3CC(=O)O)c1,EC50,'=',32.5,nM,7.49,,,UO_0000065,,,,,TRUE,CHEMBL4235457,Agonist activity at human FFA1 receptor expressed in CHO cells assessed as increase in intracellular calcium levels measured for 90 secs by Fluo 4-AM dye based FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4229508,1,Scientific Literature,Bioorg Med Chem,2018,None,
CHEMBL4226029,,0,380.47,1,5.25,3,Cc1ccsc1-c1cccc(COc2ccc3c(c2)OCC3CC(=O)O)c1,EC50,'=',157.1,nM,6.8,,,UO_0000065,,,,,FALSE,CHEMBL4220336,Agonist activity at human FFA1 expressed in CHO cells assessed as increase in intracellular Ca2+ flux by Fluo-4 dye based FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4219056,1,Scientific Literature,Bioorg Med Chem,2018,None,
CHEMBL4228620,,0,379.41,0,4.49,5,Cc1noc(C)c1-c1cccc(COc2ccc3c(c2)OCC3CC(=O)O)c1,EC50,'=',27.5,nM,7.56,,,UO_0000065,,,,,FALSE,CHEMBL4220336,Agonist activity at human FFA1 expressed in CHO cells assessed as increase in intracellular Ca2+ flux by Fluo-4 dye based FLIPR assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4219056,1,Scientific Literature,Bioorg Med Chem,2018,None,
CHEMBL4249862,,0,519.6,2,6.08,28,O=C(O)C[C@@H]1COc2cc(OCc3cccc(-c4cccc5c4CCN(C(=O)c4ccccc4)C5)c3)ccc21,EC50,'=',2200,nM,5.66,,,UO_0000065,,,,,FALSE,CHEMBL4235682,Transactivation of human GPR40 expressed in HEK293 cells after 24 hrs by Elk-Gal4 luciferase reporter assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4229516,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,
CHEMBL4244619,,0,542.08,2,6.44,36,Cl.O=C(O)C[C@@H]1COc2cc(OCc3cccc(-c4ccc5c(c4)CN(Cc4ccccc4)CC5)c3)ccc21,EC50,'=',800,nM,6.1,,,UO_0000065,,,,,FALSE,CHEMBL4235682,Transactivation of human GPR40 expressed in HEK293 cells after 24 hrs by Elk-Gal4 luciferase reporter assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4229516,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,
CHEMBL600800,,0,437.23,1,5.09,9-48,O=C1NC(=O)C(Cc2ccc(Oc3ncc(C(F)(F)F)cc3Cl)cc2Cl)S1,EC50,'=',26,nM,7.58,,,UO_0000065,,,,,FALSE,CHEMBL1072787,Agonist activity at human GPR40 by FLIPR assay in presence of 1% BSA,F,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1156842,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2010,None,
CHEMBL1688452,BENZYLOXYPHENYLPROPANOIC ACID,0,256.3,0,3.28,18; TUG-20,O=C(O)CCc1ccc(OCc2ccccc2)cc1,EC50,'=',549.54,nM,6.26,,,UO_0000065,24.42,0.45,2.98,13.45,FALSE,CHEMBL3820977,Agonist activity at human C-terminal eYFP-tagged FFA1 receptor expressed in HEK-293 cells assessed as beta-arrestin2 recruitment incubated for 5 mins by BRET assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3817814,1,Scientific Literature,J. Med. Chem.,2016,CHEMBL3307715,
CHEMBL3798044,,0,387.38,0,4.83,11f,Cc1noc(C)c1-c1ccc(F)c(COc2ccc(CCC(=O)O)c(F)c2)c1,EC50,'=',11.1,nM,7.96,,,UO_0000065,20.53,0.39,3.12,10.96,FALSE,CHEMBL3804270,Agonist activity at human GPR40 expressed in CHO cells by FLIPR calcium flux assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3797066,1,Scientific Literature,Eur. J. Med. Chem.,2016,CHEMBL3308072,
CHEMBL1688454,,0,348.4,1,5.08,4b,O=C(O)CCc1ccc(OCc2ccc(Oc3ccccc3)cc2)cc1,EC50,'=',310,nM,6.51,,,UO_0000065,,,,,FALSE,CHEMBL1692323,Agonist activity against human GPR40 expressed in CHO cells assessed as increase in intracellular calcium level by FLIPR assay in presence of 0.1% BSA,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687914,1,Scientific Literature,J. Med. Chem.,2011,CHEMBL3308072,
CHEMBL1688469,,0,376.52,1,6.28,4l,Cc1cccc(C)c1-c1cccc(CSc2ccc(CCC(=O)O)cc2)c1,EC50,'=',1800,nM,5.75,,,UO_0000065,,,,,FALSE,CHEMBL1692323,Agonist activity against human GPR40 expressed in CHO cells assessed as increase in intracellular calcium level by FLIPR assay in presence of 0.1% BSA,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687914,1,Scientific Literature,J. Med. Chem.,2011,CHEMBL3308072,
CHEMBL1688474,,0,374.48,1,5.88,4q,Cc1cc(OCc2cccc(-c3c(C)cccc3C)c2)ccc1CCC(=O)O,EC50,'=',30,nM,7.52,,,UO_0000065,,,,,FALSE,CHEMBL1692323,Agonist activity against human GPR40 expressed in CHO cells assessed as increase in intracellular calcium level by FLIPR assay in presence of 0.1% BSA,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687914,1,Scientific Literature,J. Med. Chem.,2011,CHEMBL3308072,
CHEMBL1688476,,0,396.43,1,5.84,4s,Cc1cccc(C)c1-c1cccc(COc2cc(F)c(CCC(=O)O)c(F)c2)c1,EC50,'=',35,nM,7.46,,,UO_0000065,,,,,FALSE,CHEMBL1692323,Agonist activity against human GPR40 expressed in CHO cells assessed as increase in intracellular calcium level by FLIPR assay in presence of 0.1% BSA,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687914,1,Scientific Literature,J. Med. Chem.,2011,CHEMBL3308072,
CHEMBL1688482,,0,362.43,0,4.96,6e,COc1ccccc1-c1cccc(COc2ccc(CCC(=O)O)cc2)c1,EC50,'=',82,nM,7.09,,,UO_0000065,,,,,FALSE,CHEMBL1692323,Agonist activity against human GPR40 expressed in CHO cells assessed as increase in intracellular calcium level by FLIPR assay in presence of 0.1% BSA,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687914,1,Scientific Literature,J. Med. Chem.,2011,CHEMBL3308072,
CHEMBL1688484,,0,366.84,1,5.6,6g,O=C(O)CCc1ccc(OCc2cccc(-c3ccccc3Cl)c2)cc1,EC50,'=',20,nM,7.7,,,UO_0000065,,,,,FALSE,CHEMBL1692323,Agonist activity against human GPR40 expressed in CHO cells assessed as increase in intracellular calcium level by FLIPR assay in presence of 0.1% BSA,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687914,1,Scientific Literature,J. Med. Chem.,2011,CHEMBL3308072,
CHEMBL1688486,,0,360.45,1,5.57,6i,Cc1cccc(C)c1-c1cccc(COc2ccc(CCC(=O)O)cc2)c1,EC50,'=',8.8,nM,8.06,,,UO_0000065,,,,,FALSE,CHEMBL1692323,Agonist activity against human GPR40 expressed in CHO cells assessed as increase in intracellular calcium level by FLIPR assay in presence of 0.1% BSA,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687914,1,Scientific Literature,J. Med. Chem.,2011,CHEMBL3308072,
CHEMBL1688488,,0,360.45,1,5.57,6k,Cc1ccc(-c2cccc(COc3ccc(CCC(=O)O)cc3)c2)c(C)c1,EC50,'=',9.9,nM,8,,,UO_0000065,,,,,FALSE,CHEMBL1692323,Agonist activity against human GPR40 expressed in CHO cells assessed as increase in intracellular calcium level by FLIPR assay in presence of 0.1% BSA,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1687914,1,Scientific Literature,J. Med. Chem.,2011,CHEMBL3308072,
CHEMBL1773261,,0,345.44,1,5.29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL207881,GW9508,0,347.41,1,5.11,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2164242,,0,499.6,1,5.24,13,Cc1cc(OCCCS(C)(=O)=O)ccc1-c1cccc(CNc2ccc(CCC(=O)O)c(F)c2)c1,EC50,'=',45.71,nM,7.34,,,UO_0000065,,,,,FALSE,CHEMBL2166563,Agonist activity at human GPR40 expressed in HEK293 cells assessed as receptor activation by dynamic mass redistribution assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2163258,1,Scientific Literature,J. Med. Chem.,2012,CHEMBL3307715,
CHEMBL2152069,,0,420.48,1,6.05,7,COc1ccc(F)c(-c2ccc(COc3cccc([C@@H](CC(=O)O)C4CC4)c3)cc2)c1,EC50,'>',10000,nM,,,,UO_0000065,,,,,TRUE,CHEMBL3877146,Positive allosteric modulation of human GPR40 expressed in HEK293 cells assessed as IP1 accumulation measured after 60 mins in presence of 100% human serum by HTRF assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,HEK293,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL3875232,1,Scientific Literature,ACS Med Chem Lett,2017,CHEMBL3307715,
CHEMBL207753,,0,359.43,1,5.28,14A,O=C(O)[C@H]1C[C@@H]1c1ccc(NCc2cccc(Oc3ccccc3)c2)cc1,EC50,'=',13.49,nM,7.87,,,UO_0000065,,,,,FALSE,CHEMBL861844,Agonist potency at human GPR40 expressed in CHO cells,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1146132,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,CHEMBL3308072,
CHEMBL380504,,0,434.48,1,6.01,11B,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1CNc1ccc(CC(C)C(=O)O)cc1,EC50,'=',354.81,nM,6.45,,,UO_0000065,,,,,FALSE,CHEMBL861844,Agonist potency at human GPR40 expressed in CHO cells,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1146132,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,CHEMBL3308072,
CHEMBL206942,,0,432.47,1,5.94,15B,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1CNc1ccc([C@@H]2C[C@@H]2C(=O)O)cc1,EC50,'=',302,nM,6.52,,,UO_0000065,,,,,FALSE,CHEMBL861844,Agonist potency at human GPR40 expressed in CHO cells,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1146132,1,Scientific Literature,Bioorg. Med. Chem. Lett.,2006,CHEMBL3308072,
CHEMBL2048621,,0,519.61,2,6.1,29,Cc1cc(OCCCN2CCCC2=O)cc(C)c1-c1cccc(COc2ccc(CCC(=O)O)c(F)c2)c1,EC50,'=',32,nM,7.5,,,UO_0000065,,,,,FALSE,CHEMBL2051554,Agonist activity at human GPR40 receptor expressed in CHO cells assessed as increase in intracellular calcium level for 90 secs by FLIPR assay in the presence of 0.1% BSA,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2046346,1,Scientific Literature,J. Med. Chem.,2012,CHEMBL3308072,
CHEMBL2048623,,0,526.63,2,5.66,31,Cc1cc(OC2CCS(=O)(=O)CC2)cc(C)c1-c1cccc(COc2ccc(CCC(=O)O)c(F)c2)c1,EC50,'=',25,nM,7.6,,,UO_0000065,,,,,FALSE,CHEMBL2051554,Agonist activity at human GPR40 receptor expressed in CHO cells assessed as increase in intracellular calcium level for 90 secs by FLIPR assay in the presence of 0.1% BSA,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2046346,1,Scientific Literature,J. Med. Chem.,2012,CHEMBL3308072,
CHEMBL2048625,,0,513.63,2,5.55,33,CCS(=O)(=O)CCOc1cc(C)c(-c2cccc(CNc3ccc(CCC(=O)O)c(F)c3)c2)c(C)c1,EC50,'=',99,nM,7,,,UO_0000065,,,,,FALSE,CHEMBL2051554,Agonist activity at human GPR40 receptor expressed in CHO cells assessed as increase in intracellular calcium level for 90 secs by FLIPR assay in the presence of 0.1% BSA,F,BAO_0000219,cell-based format,Homo sapiens,None,None,CHO,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL2046346,1,Scientific Literature,J. Med. Chem.,2012,CHEMBL3308072,
CHEMBL207881,GW9508,0,347.41,1,5.11,GW-9508,O=C(O)CCc1ccc(NCc2cccc(Oc3ccccc3)c2)cc1,EC50,'=',28.84,nM,7.54,,,UO_0000065,,,,,TRUE,CHEMBL1775298,Agonist activity at human FFA1 transfected in 1321N1 cells assessed as calcium mobilization by microplate assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,1321-N1,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1773039,1,Scientific Literature,ACS Med. Chem. Lett.,2010,None,
CHEMBL1773252,,0,335.2,0,4.05,10,O=C(O)CCc1ccc(OCc2ccc(Br)cc2)cc1,EC50,'=',549.54,nM,6.26,,,UO_0000065,,,,,FALSE,CHEMBL1775298,Agonist activity at human FFA1 transfected in 1321N1 cells assessed as calcium mobilization by microplate assay,F,BAO_0000219,cell-based format,Homo sapiens,None,None,1321-N1,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL1773039,1,Scientific Literature,ACS Med. Chem. Lett.,2010,None,
CHEMBL4065959,,0,386.44,1,5.16,6a,COc1ccc(F)c(-c2cccc(COc3ccc(CCC(=O)O)s3)c2)c1,EC50,'=',580,nM,6.24,,,UO_0000065,16.14,0.32,1.08,11.18,FALSE,CHEMBL4010812,Agonist activity at human GPR40 expressed in CHO cells assessed as increase in intracellular Ca2+ flux by Fluo 4-AM dye based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4007473,1,Scientific Literature,J Med Chem,2017,None,
CHEMBL4061819,,0,496.5,0,4.97,30,COc1ccc(F)c(N2CC[C@H](COc3ccc(N4C[C@H](C(F)(F)F)C[C@@H]4CC(=O)O)cc3)C2)c1,EC50,'=',940,nM,6.03,,,UO_0000065,12.14,0.24,1.06,9.68,FALSE,CHEMBL4023129,Agonist activity at human GPR40 expressed in CHOA12 cells assessed as induction of Ca2+ mobilization by FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4020824,1,Scientific Literature,J Med Chem,2018,None,
CHEMBL4065150,,0,530.37,2,6.26,19s,C[C@@H]1C(C(F)(F)F)=NN(c2ccc(OC3CCN(c4cc(Cl)ccc4Cl)CC3)cc2)[C@H]1CC(=O)O,EC50,'=',250,nM,6.6,,,UO_0000065,12.45,0.26,0.34,10.1,FALSE,CHEMBL4023129,Agonist activity at human GPR40 expressed in CHOA12 cells assessed as induction of Ca2+ mobilization by FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4020824,1,Scientific Literature,J Med Chem,2018,None,
CHEMBL4093944,,0,510.49,1,4.49,19ab,COc1cc(N2CCC(Oc3ccc(N4N=C(C(F)(F)F)[C@@H](C)[C@@H]4CC(=O)O)cc3)CC2)c(F)cn1,EC50,'=',150,nM,6.82,,,UO_0000065,13.37,0.26,2.33,7.8,FALSE,CHEMBL4023129,Agonist activity at human GPR40 expressed in CHOA12 cells assessed as induction of Ca2+ mobilization by FLIPR assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,,,,CHEMBL4422,Free fatty acid receptor 1,Homo sapiens,SINGLE PROTEIN,CHEMBL4020824,1,Scientific Literature,J Med Chem,2018,None,
